timestamp,open,high,low,close,volume
2021-01-15 20:00:00,126.8100,126.8800,126.8000,126.8200,8343
2021-01-15 19:59:00,126.8900,126.9000,126.8200,126.8300,8626
2021-01-15 19:58:00,126.9000,126.9100,126.8900,126.8900,4798
2021-01-15 19:57:00,126.9200,126.9200,126.9000,126.9000,1770
2021-01-15 19:56:00,126.9500,126.9500,126.9000,126.9000,2051
2021-01-15 19:55:00,126.9300,126.9500,126.9300,126.9500,1853
2021-01-15 19:54:00,126.9200,126.9600,126.9200,126.9500,3477
2021-01-15 19:53:00,126.9800,127.0000,126.9500,126.9500,2135
2021-01-15 19:52:00,126.9300,126.9800,126.9100,126.9300,4144
2021-01-15 19:51:00,126.9300,127.0000,126.9300,127.0000,2520
2021-01-15 19:50:00,126.8900,126.9300,126.8900,126.9300,804
2021-01-15 19:49:00,126.9300,126.9300,126.8800,126.9000,13571
2021-01-15 19:48:00,126.9500,126.9500,126.9300,126.9300,3197
2021-01-15 19:47:00,126.9500,126.9500,126.9500,126.9500,716
2021-01-15 19:46:00,126.9800,126.9800,126.9500,126.9500,8827
2021-01-15 19:45:00,127.0000,127.0000,126.9800,126.9800,18996
2021-01-15 19:44:00,127.0000,127.0000,127.0000,127.0000,4850
2021-01-15 19:43:00,127.0200,127.0200,127.0000,127.0100,3775
2021-01-15 19:42:00,127.0300,127.0300,127.0200,127.0300,5184
2021-01-15 19:41:00,127.0400,127.0400,127.0300,127.0301,2498
2021-01-15 19:40:00,127.0400,127.0500,127.0400,127.0500,3315
2021-01-15 19:39:00,127.0500,127.0500,127.0400,127.0400,1592
2021-01-15 19:38:00,127.0400,127.0600,127.0400,127.0600,457
2021-01-15 19:37:00,127.0400,127.0700,127.0400,127.0700,1987
2021-01-15 19:36:00,127.0400,127.0400,127.0300,127.0300,1716
2021-01-15 19:35:00,127.0500,127.0500,127.0400,127.0400,1113
2021-01-15 19:34:00,127.0500,127.0500,127.0500,127.0500,1251
2021-01-15 19:33:00,127.0700,127.0700,127.0700,127.0700,1833
2021-01-15 19:32:00,127.1000,127.1000,127.0700,127.0700,1753
2021-01-15 19:31:00,127.0700,127.1000,127.0700,127.1000,2300
2021-01-15 19:30:00,127.0700,127.1000,127.0700,127.0899,1255
2021-01-15 19:29:00,127.1300,127.1300,127.1000,127.1100,1714
2021-01-15 19:28:00,127.0600,127.0600,127.0600,127.0600,821
2021-01-15 19:27:00,127.0700,127.1400,127.0700,127.1300,3257
2021-01-15 19:26:00,127.0500,127.0500,127.0500,127.0500,944
2021-01-15 19:25:00,127.0500,127.0500,127.0500,127.0500,835
2021-01-15 19:24:00,127.0500,127.0500,127.0500,127.0500,955
2021-01-15 19:23:00,127.0500,127.0500,127.0400,127.0400,1222
2021-01-15 19:22:00,127.0300,127.0500,127.0300,127.0500,1804
2021-01-15 19:21:00,127.0300,127.0300,127.0300,127.0300,421
2021-01-15 19:20:00,127.0400,127.0400,127.0400,127.0400,234
2021-01-15 19:19:00,127.0300,127.0400,127.0300,127.0400,389
2021-01-15 19:18:00,127.0400,127.0400,127.0300,127.0300,506
2021-01-15 19:17:00,127.0300,127.0300,127.0300,127.0300,528
2021-01-15 19:16:00,127.0400,127.0400,127.0400,127.0400,822
2021-01-15 19:15:00,127.0400,127.0400,127.0300,127.0400,876
2021-01-15 19:14:00,127.0400,127.0400,127.0200,127.0400,1942
2021-01-15 19:13:00,127.0200,127.0400,127.0200,127.0400,1372
2021-01-15 19:11:00,127.0200,127.0200,127.0000,127.0200,2152
2021-01-15 19:10:00,127.0200,127.0300,127.0100,127.0100,1048
2021-01-15 19:09:00,127.0100,127.0200,127.0100,127.0200,1608
2021-01-15 19:08:00,127.0300,127.0300,127.0100,127.0100,2495
2021-01-15 19:07:00,127.0700,127.0700,127.0500,127.0500,1228
2021-01-15 19:06:00,127.0300,127.0300,127.0300,127.0300,414
2021-01-15 19:04:00,127.0400,127.0400,127.0300,127.0400,826
2021-01-15 19:03:00,127.0400,127.0400,127.0400,127.0400,301
2021-01-15 19:02:00,127.0700,127.0700,127.0300,127.0300,3028
2021-01-15 19:01:00,127.0600,127.0600,127.0600,127.0600,1500
2021-01-15 19:00:00,127.0600,127.0600,127.0600,127.0600,948
2021-01-15 18:59:00,127.0700,127.0700,127.0700,127.0700,1165
2021-01-15 18:58:00,127.0700,127.0700,127.0600,127.0700,1421
2021-01-15 18:57:00,127.0800,127.0800,127.0700,127.0700,1054
2021-01-15 18:56:00,127.0900,127.0900,127.0800,127.0800,1023
2021-01-15 18:55:00,127.0899,127.0900,127.0800,127.0800,1287
2021-01-15 18:54:00,127.0800,127.0800,127.0600,127.0600,613
2021-01-15 18:53:00,127.0800,127.0900,127.0800,127.0900,1120
2021-01-15 18:52:00,127.0800,127.0800,127.0800,127.0800,463
2021-01-15 18:51:00,127.0800,127.0800,127.0800,127.0800,700
2021-01-15 18:50:00,127.0900,127.0900,127.0800,127.0800,312
2021-01-15 18:49:00,127.0300,127.0600,127.0100,127.0600,1500
2021-01-15 18:48:00,127.0500,127.0500,127.0200,127.0200,1852
2021-01-15 18:47:00,127.0300,127.0300,127.0300,127.0300,382
2021-01-15 18:46:00,127.0200,127.0700,127.0200,127.0200,1798
2021-01-15 18:45:00,127.0300,127.0600,127.0300,127.0600,1146
2021-01-15 18:44:00,127.0200,127.0200,127.0200,127.0200,410
2021-01-15 18:43:00,127.0700,127.1400,127.0300,127.0500,149456
2021-01-15 18:42:00,127.0700,127.0700,127.0700,127.0700,295
2021-01-15 18:41:00,127.0500,127.0700,127.0500,127.0700,1619
2021-01-15 18:40:00,127.0600,127.0600,127.0600,127.0600,943
2021-01-15 18:38:00,127.0900,127.0900,127.0200,127.0200,1292
2021-01-15 18:37:00,127.0900,127.0900,127.0700,127.0700,555
2021-01-15 18:36:00,127.0800,127.0900,127.0800,127.0900,2257
2021-01-15 18:35:00,127.1100,127.1100,127.0900,127.0900,2108
2021-01-15 18:34:00,127.1100,127.1200,127.0900,127.0900,2362
2021-01-15 18:33:00,127.1200,127.1200,127.1200,127.1200,561
2021-01-15 18:32:00,127.1100,127.1100,127.1100,127.1100,1072
2021-01-15 18:31:00,127.1200,127.1400,127.1000,127.1300,3308
2021-01-15 18:30:00,127.1299,127.1300,127.1001,127.1200,2358
2021-01-15 18:29:00,127.1300,127.1400,127.1200,127.1300,3047
2021-01-15 18:28:00,127.1300,127.1300,127.1300,127.1300,622
2021-01-15 18:27:00,127.1100,127.1300,127.1100,127.1300,634
2021-01-15 18:26:00,127.1100,127.1300,127.1100,127.1300,440
2021-01-15 18:25:00,127.1300,127.1300,127.1300,127.1300,916
2021-01-15 18:24:00,127.1300,127.1301,127.1300,127.1300,2244
2021-01-15 18:23:00,127.1300,127.1300,127.1100,127.1100,1142
2021-01-15 18:22:00,127.1000,127.1300,127.1000,127.1300,2089
2021-01-15 18:21:00,127.1000,127.1500,127.1000,127.1500,2430
2021-01-15 18:20:00,127.1000,127.1000,127.0900,127.0900,2149
2021-01-15 18:19:00,127.0900,127.0900,127.0900,127.0900,781
2021-01-15 18:18:00,127.0900,127.1000,127.0900,127.0900,2357
